MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
14096846,2014,Oct,10,Fire,ELEC - Electrical Fire,B4,AFD,00-2703,3F,Code 3,-,"(30242072, 97837011)"
14121527,2014,Dec,20,Fire,AUTO - Auto Fire,B4,AFD,00-3702,2F,Code 3,-,"(30254542, 97865622)"
14121553,2014,Dec,20,Fire,BBQ - Unsafe Cooking,B3,AFD,00-2305,4F,Code 1,-,"(30346795, 97695634)"
14121580,2014,Dec,20,Fire,TRASH - Trash Fire,B5,AFD,00-0501,3F,Code 3,-,"(30279665, 97676845)"
14096867,2014,Oct,10,Fire,AUTO - Auto Fire,B4,AFD,00-2903,2F,Code 3,-,"(30182463, 97847401)"
14096871,2014,Oct,10,Fire,TRASH - Trash Fire,B4,AFD,00-1101,3F,Code 3,-,"(30246924, 97777183)"
14097134,2014,Oct,11,Fire,AUTO - Auto Fire,B1,AFD,00-1202,2F,Code 3,-,"(30328058, 97741442)"
14097161,2014,Oct,11,Fire,BBQ - Unsafe Cooking,B5,AFD,00-3502,4F,Code 1,-,"(30224559, 97742251)"
14097175,2014,Oct,11,Fire,ELEC - Electrical Fire,B3,AFD,00-2608,3F,Code 3,-,"(30305267, 97656765)"
14097230,2014,Oct,11,Fire,BBQ - Unsafe Cooking,B5,AFD,00-2201,4F,Code 3,-,"(30226728, 97722292)"
14097269,2014,Oct,11,Fire,ELEC - Electrical Fire,B4,AFD,00-1101,3F,Code 3,-,"(30261638, 97773726)"
14097365,2014,Oct,12,Fire,AUTO - Auto Fire,B2,AFD,00-3103,2F,Code 3,-,"(30358861, 97780577)"
14097420,2014,Oct,12,Fire,ELEC - Electrical Fire,B1,AFD,00-1001,3F,Code 3,-,"(30294374, 97780026)"
14097436,2014,Oct,12,Fire,AUTO - Auto Fire,B5,AFD,00-3502,2F,Code 3,-,"(30229287, 97743699)"
14097447,2014,Oct,12,Fire,DUMP - Dumpster Fire,B3,AFD,00-3004,3F,Code 3,-,"(30378579, 97674641)"
14097452,2014,Oct,12,Fire,ELEC - Electrical Fire,B3,AFD,00-1403,3F,Code 3,-,"(30280502, 97717287)"
14097491,2014,Oct,12,Fire,AUTO - Auto Fire,B4,AFD,00-1104,2F,Code 3,-,"(30262139, 97758049)"
14097528,2014,Oct,12,Fire,ELEC - Electrical Fire,B4,AFD,00-2702,3F,Code 3,-,"(30234416, 97826055)"
14121702,2014,Dec,21,Fire,BBQ - Unsafe Cooking,B3,AFD,00-1805,4F,Code 1,-,"(30328767, 97679075)"
14097584,2014,Oct,12,Fire,AUTO - Auto Fire,B4,AFD,00-1706,2F,Code 3,-,"(30234152, 97771022)"
14097593,2014,Oct,12,Fire,ELEC - Electrical Fire,B5,AFD,00-2204,3F,Code 3,-,"(30234644, 97713732)"
14097597,2014,Oct,12,Fire,BBQ - Unsafe Cooking,B2,AFD,00-2502,4F,Code 1,-,"(30414007, 97738496)"
14121768,2014,Dec,21,Fire,AUTO - Auto Fire,B3,AFD,00-2303,2F,Code 3,-,"(30332608, 97659078)"
14121787,2014,Dec,21,Fire,GRASS - Small Grass Fire,B3,AFD,00-2303,3F,Code 3,-,"(30328728, 97659439)"
14121805,2014,Dec,21,Fire,ELEC - Electrical Fire,B4,AFD,00-2705,3F,Code 3,-,"(30206497, 97864946)"
14097769,2014,Oct,13,Fire,AUTO - Auto Fire,B2,AFD,00-2503,2F,Code 3,-,"(30401832, 97746136)"
14097771,2014,Oct,13,Fire,AUTO - Auto Fire,B2,AFD,00-3808,2F,Code 3,-,"(30449532, 97790187)"
14097879,2014,Oct,13,Fire,TRASH - Trash Fire,B1,AFD,00-0303,3F,Code 3,-,"(30289299, 97723456)"
14097945,2014,Oct,13,Fire,ELEC - Electrical Fire,B2,AFD,00-4403,3F,Code 3,-,"(30438148, 97758005)"
14097949,2014,Oct,13,Fire,ELEC - Electrical Fire,B3,AFD,00-1803,3F,Code 3,-,"(30318703, 97702635)"
14097953,2014,Oct,13,Fire,ELEC - Electrical Fire,B1,AFD,00-1001,3F,Left Blank,-,"(30291279, 97771682)"
14122045,2014,Dec,22,Fire,TRASH - Trash Fire,B5,AFD,00-2403,3F,Code 3,-,"(30185306, 97765546)"
14122059,2014,Dec,22,Fire,AUTO - Auto Fire,B4,AFD,00-1710,2F,Code 3,-,"(30196793, 97765598)"
14122135,2014,Dec,22,Fire,TRASH - Trash Fire,B5,AFD,00-0701,3F,Code 3,-,"(30262799, 97719047)"
14122188,2014,Dec,22,Fire,TRASH - Trash Fire,B4,AFD,00-1104,3F,Code 3,-,"(30266394, 97764094)"
14122268,2014,Dec,23,Fire,TRASH - Trash Fire,B3,AFD,00-3005,3F,Code 3,-,"(30365123, 97687845)"
14098183,2014,Oct,14,Fire,ELEC - Electrical Fire,B2,AFD,00-2104,3F,Code 3,-,"(30372776, 97752219)"
14098196,2014,Oct,14,Fire,ELEC - Electrical Fire,B2,AFD,00-3101,3F,Code 3,-,"(30354839, 97792322)"
14098246,2014,Oct,14,Fire,AUTO - Auto Fire,B1,AFD,00-0203,2F,Code 3,-,"(30274611, 97730983)"
14098254,2014,Oct,14,Fire,ELEC - Electrical Fire,B2,AFD,00-2501,3F,Code 1,-,"(30423459, 97756373)"
14098273,2014,Oct,14,Fire,AUTO - Auto Fire,B3,AFD,00-2305,2F,Code 3,-,"(30342328, 97698495)"
14122338,2014,Dec,23,Fire,AUTO - Auto Fire,B2,AFD,00-2501,2F,Code 3,-,"(30434488, 97769056)"
14122390,2014,Dec,23,Fire,ELEC - Electrical Fire,B3,AFD,00-4001,3F,Left Blank,-,"(30403232, 97672444)"
14122479,2014,Dec,23,Fire,ELEC - Electrical Fire,B1,AFD,00-1206,3F,Code 3,-,"(30311183, 97748411)"
14122693,2014,Dec,24,Fire,ELEC - Electrical Fire,B4,AFD,00-2903,3F,Code 3,-,"(30180631, 97831985)"
14122738,2014,Dec,24,Fire,TRASH - Trash Fire,B3,AFD,00-3001,3F,Code 3,-,"(30385314, 97696279)"
14098573,2014,Oct,15,Fire,AUTO - Auto Fire,B5,AFD,00-0601,2F,Other,-,"(30237739, 97739079)"
14098574,2014,Oct,15,Fire,AUTO - Auto Fire,B5,AFD,00-2202,2F,Code 3,-,"(30239109, 97737867)"
14122798,2014,Dec,24,Fire,ELEC - Electrical Fire,B1,AFD,00-1206,3F,Code 3,-,"(30319625, 97754052)"
14098650,2014,Oct,15,Fire,ELEC - Electrical Fire,B2,AFD,00-4403,3F,Code 3,-,"(30440414, 97755249)"
14098735,2014,Oct,16,Fire,ELEC - Electrical Fire,B1,AFD,00-0301,3F,Code 3,-,"(30290728, 97745368)"
14098742,2014,Oct,16,Fire,TRASH - Trash Fire,B4,AFD,00-3701,3F,Code 3,-,"(30249444, 97893353)"
14098863,2014,Oct,16,Fire,AUTO - Auto Fire,B5,AFD,00-3504,2F,Code 3,-,"(30193391, 97700005)"
14122838,2014,Dec,24,Fire,TRASH - Trash Fire,B3,AFD,00-1804,3F,Code 3,-,"(30328848, 97693822)"
14098887,2014,Oct,16,Fire,GRASS - Small Grass Fire,B3,AFD,00-0803,3F,Code 3,-,"(30350819, 97713255)"
14122866,2014,Dec,25,Fire,TRASH - Trash Fire,B3,AFD,00-0803,3F,Code 3,-,"(30357061, 97709381)"
14122888,2014,Dec,25,Fire,TRASH - Trash Fire,B4,AFD,00-27SV,3F,Code 1,-,"(30231041, 97819314)"
14122976,2014,Dec,25,Fire,TRASH - Trash Fire,B3,AFD,00-0803,3F,Code 1,-,"(30360291, 97714923)"
14122983,2014,Dec,25,Fire,TRASH - Trash Fire,B3,AFD,00-2306,3F,Code 3,-,"(30364965, 97688722)"
14123026,2014,Dec,25,Fire,ELEC - Electrical Fire,B3,AFD,00-2601,3F,Code 3,-,"(30294255, 97626021)"
14123035,2014,Dec,25,Fire,AUTO - Auto Fire,B2,AFD,00-4402,2F,Code 3,-,"(30436264, 97772733)"
14123048,2014,Dec,25,Fire,TRASH - Trash Fire,B3,AFD,00-3001,3F,Code 1,-,"(30384496, 97695031)"
14123065,2014,Dec,25,Fire,TRASH - Trash Fire,B4,AFD,00-1104,3F,Code 3,-,"(30266344, 97770326)"
14123080,2014,Dec,25,Fire,GRASS - Small Grass Fire,B4,AFD,00-1104,3F,Code 3,-,"(30269105, 97770339)"
14123083,2014,Dec,25,Fire,BBQ - Unsafe Cooking,B3,AFD,00-4003,4F,Code 1,-,"(30381602, 97651843)"
14098995,2014,Oct,16,Fire,AUTO - Auto Fire,B1,AFD,00-0201,2F,Code 3,-,"(30283227, 97727965)"
14099055,2014,Oct,16,Fire,TRASH - Trash Fire,B4,AFD,00-1101,3F,Code 3,-,"(30246583, 97778163)"
14123164,2014,Dec,26,Fire,TRASH - Trash Fire,B4,AFD,00-1104,3F,Code 3,-,"(30268993, 97770377)"
14099093,2014,Oct,17,Fire,TRASH - Trash Fire,B3,AFD,00-0806,3F,Code 3,-,"(30373504, 97726291)"
14123250,2014,Dec,26,Fire,AUTO - Auto Fire,B3,AFD,00-0801,2F,Code 3,-,"(30376696, 97717325)"
14099127,2014,Oct,17,Fire,AUTO - Auto Fire,B3,AFD,00-2607,2F,Code 3,-,"(30303514, 97661004)"
14123290,2014,Dec,26,Fire,TRASH - Trash Fire,B3,AFD,00-2304,3F,Code 3,-,"(30340552, 97686448)"
14099144,2014,Oct,17,Fire,AUTO - Auto Fire,B5,AFD,00-3501,2F,Code 3,-,"(30215724, 97744069)"
14123344,2014,Dec,26,Fire,ELEC - Electrical Fire,B5,AFD,00-2205,3F,Code 3,-,"(30231049, 97692942)"
14123394,2014,Dec,26,Fire,TRASH - Trash Fire,B5,AFD,00-2204,3F,Code 3,-,"(30224925, 97703433)"
14123432,2014,Dec,26,Fire,TRASH - Trash Fire,B1,AFD,00-0203,3F,Code 3,-,"(30278511, 97715799)"
14099200,2014,Oct,17,Fire,AUTO - Auto Fire,B4,AFD,00-1701,2F,Code 3,-,"(30227318, 97773388)"
14099292,2014,Oct,17,Fire,GRASS - Small Grass Fire,B5,AFD,00-1502,3F,Code 3,-,"(30222317, 97676497)"
14099390,2014,Oct,17,Fire,AUTO - Auto Fire,B3,AFD,00-1407,2F,Code 3,-,"(30310157, 97711305)"
14099425,2014,Oct,17,Fire,AUTO - Auto Fire,B4,AFD,00-3603,2F,Code 3,-,"(30125318, 97801991)"
14099455,2014,Oct,17,Fire,TRASH - Trash Fire,B5,AFD,00-0501,3F,Code 1,-,"(30276091, 97678939)"
14099475,2014,Oct,18,Fire,TRASH - Trash Fire,B1,AFD,00-0101,3F,Code 3,-,"(30261782, 97738792)"
14099476,2014,Oct,18,Fire,TRASH - Trash Fire,B5,AFD,00-1503,3F,Code 3,-,"(30251931, 97704545)"
14123629,2014,Dec,27,Fire,ELEC - Electrical Fire,B3,AFD,00-2305,3F,Code 3,-,"(30347396, 97704543)"
14123683,2014,Dec,27,Fire,TRASH - Trash Fire,B4,AFD,00-1101,3F,Code 1,-,"(30260017, 97765641)"
14099577,2014,Oct,18,Fire,TRASH - Trash Fire,B1,AFD,00-0101,3F,Code 3,-,"(30255859, 97736467)"
14123703,2014,Dec,27,Fire,AUTO - Auto Fire,B3,AFD,00-2807,2F,Code 3,-,"(30440262, 97744898)"
14099579,2014,Oct,18,Fire,ELEC - Electrical Fire,B2,AFD,00-2101,3F,Code 3,-,"(30367414, 97756621)"
14123723,2014,Dec,28,Fire,GRASS - Small Grass Fire,B4,AFD,00-1710,3F,Code 3,-,"(30190674, 97770881)"
14123826,2014,Dec,28,Fire,TRASH - Trash Fire,B4,AFD,00-2703,3F,Code 3,-,"(30239507, 97847724)"
14123847,2014,Dec,28,Fire,AUTO - Auto Fire,B3,AFD,00-0807,2F,Code 3,-,"(30392617, 97746188)"
14123915,2014,Dec,28,Fire,DUMP - Dumpster Fire,B2,AFD,00-2504,3F,Code 3,-,"(30411233, 97747855)"
14123967,2014,Dec,28,Fire,AUTO - Auto Fire,B3,AFD,00-1402,2F,Code 3,-,"(30286928, 97702597)"
14099636,2014,Oct,18,Fire,ELEC - Electrical Fire,B4,AFD,00-3203,3F,Code 3,-,"(30259389, 97788674)"
14099686,2014,Oct,18,Fire,TRASH - Trash Fire,B3,AFD,00-2606,3F,Code 1,-,"(30289419, 97640231)"
14099704,2014,Oct,18,Fire,TRASH - Trash Fire,B5,AFD,00-0602,3F,Code 3,-,"(30235075, 97744448)"
14099825,2014,Oct,18,Fire,TRASH - Trash Fire,B4,AFD,00-3610,3F,Code 3,-,"(30167032, 97784984)"
14099842,2014,Oct,18,Fire,DUMP - Dumpster Fire,B3,AFD,00-3001,3F,Code 3,-,"(30370405, 97699856)"
14099873,2014,Oct,19,Fire,AUTO - Auto Fire,B1,AFD,00-0201,2F,Code 3,-,"(30278976, 97732193)"
14099881,2014,Oct,19,Fire,TRASH - Trash Fire,B2,AFD,00-1601,3F,Code 3,-,"(30336566, 97719636)"
14099891,2014,Oct,19,Fire,AUTO - Auto Fire,B5,AFD,00-2404,2F,Code 3,-,"(30164827, 97724893)"
14100034,2014,Oct,19,Fire,GRASS - Small Grass Fire,B4,AFD,00-1707,3F,Code 3,-,"(30223491, 97747691)"
14100072,2014,Oct,19,Fire,ELEC - Electrical Fire,B3,AFD,00-3005,3F,Code 3,-,"(30370871, 97687576)"
14100076,2014,Oct,19,Fire,BBQ - Unsafe Cooking,B3,AFD,00-1804,4F,Code 1,-,"(30331266, 97687361)"
14123993,2014,Dec,28,Fire,BBQ - Unsafe Cooking,B3,AFD,00-2305,4F,Code 1,-,"(30349147, 97696442)"
14124023,2014,Dec,28,Fire,TRASH - Trash Fire,B5,AFD,00-0701,3F,Code 1,-,"(30261714, 97731763)"
14100111,2014,Oct,19,Fire,TRASH - Trash Fire,B5,AFD,00-0701,3F,Code 3,-,"(30259885, 97732607)"
14100130,2014,Oct,19,Fire,BBQ - Unsafe Cooking,B5,AFD,00-3502,4F,Code 1,-,"(30224767, 97746064)"
14100140,2014,Oct,19,Fire,TRASH - Trash Fire,B3,AFD,00-1801,3F,Code 3,-,"(30322742, 97680633)"
14124299,2014,Dec,29,Fire,BBQ - Unsafe Cooking,B3,AFD,00-2301,4F,Code 1,-,"(30359599, 97685152)"
14100158,2014,Oct,19,Fire,ELEC - Electrical Fire,B2,AFD,00-1901,3F,Code 3,-,"(30333481, 97758998)"
14124364,2014,Dec,29,Fire,DUMP - Dumpster Fire,B5,AFD,00-2201,3F,Code 3,-,"(30229854, 97721311)"
14100222,2014,Oct,20,Fire,AUTO - Auto Fire,B2,AFD,00-2501,2F,Code 3,-,"(30430679, 97743509)"
14100258,2014,Oct,20,Fire,TRASH - Trash Fire,B4,AFD,00-2903,3F,Code 3,-,"(30178264, 97824897)"
14100387,2014,Oct,20,Fire,AUTO - Auto Fire,B2,AFD,00-3403,2F,Code 3,-,"(30467174, 97804361)"
14100484,2014,Oct,20,Fire,ELEC - Electrical Fire,B2,AFD,00-2101,3F,Code 3,-,"(30360487, 97758827)"
14124474,2014,Dec,30,Fire,ELEC - Electrical Fire,B5,AFD,00-1504,3F,Code 3,-,"(30266073, 97711105)"
14124508,2014,Dec,30,Fire,DUMP - Dumpster Fire,B4,AFD,00-1707,3F,Code 3,-,"(30220509, 97758314)"
14124622,2014,Dec,30,Fire,TRASH - Trash Fire,B1,AFD,00-0901,3F,Code 3,-,"(30306661, 97727202)"
14124671,2014,Dec,30,Fire,ELEC - Electrical Fire,B4,AFD,00-1101,3F,Code 3,-,"(30261638, 97773726)"
14124677,2014,Dec,30,Fire,BBQ - Unsafe Cooking,B3,AFD,00-1802,4F,Code 1,-,"(30300042, 97689594)"
14124729,2014,Dec,31,Fire,ELEC - Electrical Fire,B3,AFD,00-1801,3F,Code 3,-,"(30321542, 97679146)"
14124850,2014,Dec,31,Fire,ELEC - Electrical Fire,B2,AFD,00-1903,3F,Code 1,-,"(30348102, 97752559)"
14124855,2014,Dec,31,Fire,AUTO - Auto Fire,B4,AFD,00-3604,2F,Code 3,-,"(30159788, 97789714)"
14124875,2014,Dec,31,Fire,TRASH - Trash Fire,B4,AFD,00-2901,3F,Code 1,-,"(30206543, 97852204)"
14100565,2014,Oct,21,Fire,GRASS - Small Grass Fire,B4,AFD,00-1101,3F,Code 3,-,"(30249515, 97765551)"
14124914,2014,Dec,31,Fire,ELEC - Electrical Fire,B3,AFD,00-2806,3F,Code 3,-,"(30410332, 97717048)"
14124952,2014,Dec,31,Fire,GRASS - Small Grass Fire,B5,AFD,00-4204,3F,Code 3,-,"(30206452, 97645918)"
14124958,2014,Dec,31,Fire,ELEC - Electrical Fire,B4,AFD,00-2903,3F,Code 3,-,"(30181712, 97835633)"
14124963,2014,Dec,31,Fire,BBQ - Unsafe Cooking,B5,AFD,00-2202,4F,Code 3,-,"(30234903, 97729841)"
14124965,2014,Dec,31,Fire,ELEC - Electrical Fire,B4,AFD,00-2004,3F,Code 1,-,"(30219625, 97807978)"
14124981,2014,Dec,31,Fire,ELEC - Electrical Fire,B3,AFD,00-3002,3F,Code 3,-,"(30401428, 97705859)"
14124991,2014,Dec,31,Fire,ELEC - Electrical Fire,B3,AFD,00-1802,3F,Code 3,-,"(30312914, 97689486)"
14125016,2014,Dec,31,Fire,ELEC - Electrical Fire,B4,AFD,00-1103,3F,Code 3,-,"(30249448, 97791239)"
14125047,2014,Dec,31,Fire,TRASH - Trash Fire,B5,AFD,00-2404,3F,Code 3,-,"(30168294, 97742943)"
14125101,2014,Dec,31,Fire,TRASH - Trash Fire,B5,AFD,00-1504,3F,Code 3,-,"(30273644, 97707066)"
14100693,2014,Oct,21,Fire,AUTO - Auto Fire,B5,AFD,00-2202,2F,Code 3,-,"(30240635, 97736472)"
14100708,2014,Oct,21,Fire,GRASS - Small Grass Fire,B5,AFD,00-2404,3F,Left Blank,-,"(30150967, 97742693)"
14100739,2014,Oct,21,Fire,GRASS - Small Grass Fire,B3,AFD,00-2304,3F,Code 3,-,"(30351526, 97684966)"
14100776,2014,Oct,21,Fire,ELEC - Electrical Fire,B5,AFD,00-0501,3F,Code 3,-,"(30268899, 97685911)"
14100817,2014,Oct,21,Fire,ELEC - Electrical Fire,B4,AFD,00-1705,3F,Code 3,-,"(30236209, 97792573)"
14100836,2014,Oct,22,Fire,TRASH - Trash Fire,B3,AFD,00-1405,3F,Code 3,-,"(30299921, 97716618)"
14100837,2014,Oct,22,Fire,GRASS - Small Grass Fire,B3,AFD,00-1406,3F,Code 3,-,"(30307417, 97711825)"
14100874,2014,Oct,22,Fire,GRASS - Small Grass Fire,B2,AFD,00-3901,3F,Code 3,-,"(30406607, 97852474)"
14100883,2014,Oct,22,Fire,AUTO - Auto Fire,B3,AFD,00-1403,2F,Code 3,-,"(30292354, 97719844)"
14100889,2014,Oct,22,Fire,AUTO - Auto Fire,B3,AFD,00-2306,2F,Code 3,-,"(30359555, 97692996)"
14100943,2014,Oct,22,Fire,TRASH - Trash Fire,B1,AFD,00-0203,3F,Code 3,-,"(30275942, 97713264)"
14100965,2014,Oct,22,Fire,ELEC - Electrical Fire,B5,AFD,00-2403,3F,Code 3,-,"(30188225, 97764379)"
14101078,2014,Oct,22,Fire,BBQ - Unsafe Cooking,B1,AFD,00-1001,4F,Code 1,-,"(30297284, 97779466)"
14101103,2014,Oct,22,Fire,AUTO - Auto Fire,B1,AFD,00-0303,2F,Code 3,-,"(30293554, 97725208)"
14101333,2014,Oct,23,Fire,ELEC - Electrical Fire,B3,AFD,00-4105,3F,Code 1,-,"(30365484, 97609889)"
14101530,2014,Oct,24,Fire,ELEC - Electrical Fire,B3,AFD,00-2805,3F,Code 3,-,"(30399995, 97725137)"
14101582,2014,Oct,24,Fire,DUMP - Dumpster Fire,B3,AFD,00-2305,3F,Other,-,"(30343582, 97697721)"
14101586,2014,Oct,24,Fire,GRASS - Small Grass Fire,B3,AFD,00-4006,3F,Left Blank,-,"(30431032, 97670341)"
14101684,2014,Oct,24,Fire,TRASH - Trash Fire,B3,AFD,00-2306,3F,Code 3,-,"(30357128, 97690858)"
14101730,2014,Oct,24,Fire,ELEC - Electrical Fire,B2,AFD,00-3802,3F,Code 3,-,"(30455672, 97806234)"
14101817,2014,Oct,25,Fire,TRASH - Trash Fire,B1,AFD,00-0101,3F,Code 3,-,"(30266176, 97736127)"
14101911,2014,Oct,25,Fire,GRASS - Small Grass Fire,B4,AFD,00-3701,3F,Code 3,-,"(30242573, 97878622)"
14101931,2014,Oct,25,Fire,ELEC - Electrical Fire,B5,AFD,00-4209,3F,Left Blank,-,"(30174587, 97617287)"
14102057,2014,Oct,25,Fire,TRASH - Trash Fire,B3,AFD,00-3005,3F,Code 3,-,"(30369732, 97683139)"
14102066,2014,Oct,25,Fire,BBQ - Unsafe Cooking,B2,AFD,00-2501,4F,Code 1,-,"(30425499, 97754352)"
14102084,2014,Oct,25,Fire,TRASH - Trash Fire,B5,AFD,00-0604,3F,Code 3,-,"(30256929, 97750933)"
14102092,2014,Oct,25,Fire,TRASH - Trash Fire,B3,AFD,00-2301,3F,Code 3,-,"(30358147, 97687361)"
14102167,2014,Oct,26,Fire,GRASS - Small Grass Fire,B3,AFD,00-3001,3F,Code 3,-,"(30370658, 97701938)"
14102379,2014,Oct,26,Fire,TRASH - Trash Fire,B3,AFD,00-1401,3F,Code 3,-,"(30306196, 97708206)"
14102380,2014,Oct,26,Fire,ELEC - Electrical Fire,B5,AFD,00-2403,3F,Left Blank,-,"(30173279, 97764818)"
14102422,2014,Oct,26,Fire,BBQ - Unsafe Cooking,B3,AFD,00-1804,4F,Code 1,-,"(30325781, 97695006)"
14102440,2014,Oct,26,Fire,BBQ - Unsafe Cooking,B2,AFD,00-3303,4F,Code 1,-,"(30389539, 97759778)"
14102660,2014,Oct,27,Fire,AUTO - Auto Fire,B4,AFD,00-1707,2F,Code 3,-,"(30219201, 97755821)"
14102702,2014,Oct,27,Fire,AUTO - Auto Fire,B4,AFD,00-3607,2F,Code 3,-,"(30182129, 97776317)"
14102762,2014,Oct,27,Fire,AUTO - Auto Fire,B5,AFD,00-2205,2F,Code 3,-,"(30226547, 97693469)"
14102797,2014,Oct,27,Fire,BBQ - Unsafe Cooking,B2,AFD,00-3907,4F,Code 3,-,"(30435588, 97840022)"
14102844,2014,Oct,28,Fire,TRASH - Trash Fire,B5,AFD,00-0603,3F,Code 3,-,"(30241832, 97752533)"
14102889,2014,Oct,28,Fire,ELEC - Electrical Fire,B2,AFD,00-1601,3F,Code 1,-,"(30348482, 97714737)"
14102909,2014,Oct,28,Fire,ELEC - Electrical Fire,B3,AFD,00-0805,3F,Code 3,-,"(30374257, 97734342)"
14102918,2014,Oct,28,Fire,TRASH - Trash Fire,B3,AFD,00-1404,3F,Code 3,-,"(30301342, 97715224)"
14102969,2014,Oct,28,Fire,AUTO - Auto Fire,B5,AFD,00-4201,2F,Code 3,-,"(30204704, 97642174)"
14103095,2014,Oct,28,Fire,TRASH - Trash Fire,B4,AFD,00-1702,3F,Code 1,-,"(30211042, 97783204)"
14103134,2014,Oct,28,Fire,TRASH - Trash Fire,B5,AFD,00-0701,3F,Code 3,-,"(30260333, 97727802)"
14103168,2014,Oct,28,Fire,ELEC - Electrical Fire,B2,AFD,00-4504,3F,Code 3,-,"(30496757, 97795225)"
14103182,2014,Oct,29,Fire,ELEC - Electrical Fire,B1,AFD,00-0301,3F,Code 3,-,"(30293458, 97741012)"
14103227,2014,Oct,29,Fire,AUTO - Auto Fire,B4,AFD,00-1708,2F,Code 3,-,"(30214209, 97753446)"
14103229,2014,Oct,29,Fire,AUTO - Auto Fire,B3,AFD,00-1803,2F,Code 3,-,"(30311406, 97707025)"
14103348,2014,Oct,29,Fire,TRASH - Trash Fire,B1,AFD,00-0203,3F,Code 3,-,"(30274698, 97724184)"
14103369,2014,Oct,29,Fire,ELEC - Electrical Fire,B4,AFD,00-1706,3F,Code 1,-,"(30225143, 97766172)"
14103401,2014,Oct,29,Fire,TRASH - Trash Fire,B5,AFD,00-2205,3F,Code 3,-,"(30241235, 97690993)"
14103487,2014,Oct,29,Fire,AUTO - Auto Fire,B4,AFD,00-3611,2F,Code 3,-,"(30170382, 97783429)"
14103543,2014,Oct,30,Fire,AUTO - Auto Fire,B2,AFD,00-2501,2F,Left Blank,-,"(30434926, 97767871)"
14103701,2014,Oct,30,Fire,DUMP - Dumpster Fire,B5,AFD,00-2204,3F,Code 3,-,"(30239067, 97694362)"
14103801,2014,Oct,30,Fire,AUTO - Auto Fire,B5,AFD,00-4207,2F,Code 3,-,"(30202624, 97666966)"
14103875,2014,Oct,31,Fire,AUTO - Auto Fire,B3,AFD,00-1803,2F,Code 3,-,"(30318283, 97701741)"
14103957,2014,Oct,31,Fire,TRASH - Trash Fire,B1,AFD,00-0101,3F,Code 3,-,"(30260242, 97733612)"
14103983,2014,Oct,31,Fire,AUTO - Auto Fire,B3,AFD,00-0807,2F,Code 3,-,"(30393224, 97732709)"
14092957,2014,Sep,29,Fire,ELEC - Electrical Fire,B4,AFD,00-3604,3F,Code 1,-,"(3.01543E+7, 97815652)"
14103039,2014,Oct,28,Fire,GRASS - Small Grass Fire,B4,AFD,00-1708,3F,Code 3,-,"(3.022248E+7, 97764171)"
14076006,2014,Aug,11,Fire,GRASS - Small Grass Fire,B2,AFD,00-3906,3F,Code 3,-,"(30424878, 9.78633E+7)"
14118615,2014,Dec,12,Fire,ELEC - Electrical Fire,B4,AFD,00-3602,3F,Left Blank,-,"(30147161, 9.778213E+7)"
14021938,2014,Mar,7,Fire,BBQ - Unsafe Cooking,B5,AFD,00-0504,4F,Code 1,-,"(3.030764E+7, 97669537)"
14106546,2014,Nov,7,Fire,ELEC - Electrical Fire,B3,AFD,00-2801,3F,Left Blank,-,"(3.043438E+7, 97695154)"
14116675,2014,Dec,6,Fire,TRASH - Trash Fire,B4,AFD,00-2705,3F,Code 3,-,"(3.021525E+7, 97863188)"
14035171,2014,Apr,15,Fire,DUMP - Dumpster Fire,B1,AFD,00-0402,3F,Code 3,-,"(3.028073E+7, 97751507)"
14029385,2014,Mar,29,Fire,AUTO - Auto Fire,B3,AFD,00-3004,2F,Code 3,-,"(30389887, 9.766943E+7)"
14113559,2014,Nov,27,Fire,TRASH - Trash Fire,B3,AFD,00-1802,3F,Left Blank,-,"(3.030456E+7, 97681313)"
14014491,2014,Feb,13,Fire,ELEC - Electrical Fire,B1,AFD,00-0201,3F,Code 3,-,"(3.028749E+7, 97747886)"
14081791,2014,Aug,28,Fire,GRASS - Small Grass Fire,B3,AFD,00-1805,3F,Code 3,-,"(3.032191E+7, 97686366)"
14036444,2014,Apr,19,Fire,AUTO - Auto Fire,B3,AFD,00-4003,2F,Code 3,-,"(3.038244E+7, 97650988)"
14111664,2014,Nov,21,Fire,ELEC - Electrical Fire,B4,AFD,00-2005,3F,Code 3,-,"(3.020098E+7, 97800239)"
14062174,2014,Jul,2,Fire,ELEC - Electrical Fire,B4,AFD,00-1101,3F,Code 3,-,"(3.026079E+7, 97762866)"
14094986,2014,Oct,5,Fire,AUTO - Auto Fire,B4,AFD,00-1706,2F,Code 3,-,"(3.023641E+7, 97766035)"
14079458,2014,Aug,21,Fire,GRASS - Small Grass Fire,B3,AFD,00-2305,3F,Code 3,-,"(30349172, 9.769393E+7)"
14115913,2014,Dec,4,Fire,ELEC - Electrical Fire,B1,AFD,00-0303,3F,Code 3,-,"(30295276, 9.773687E+7)"
14024254,2014,Mar,14,Fire,TRASH - Trash Fire,B1,AFD,00-0203,3F,Code 3,-,"(30274127, 9.772402E+7)"
14082233,2014,Aug,29,Fire,TRASH - Trash Fire,B3,AFD,00-2801,3F,Code 3,-,"(30423384, 9.769112E+7)"
